Date,Description,Amount,Running Bal.
1/1/2015,Beginning balance as of 01/01/2015,,341.5
1/5/2015,CHECKCARD 0102 Amazon.com AMZN.COM/BILLWA 24692165002000718284401,-57.29,284.21
1/5/2015,CHECKCARD 0103 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA 24692165003000173134355,-33.42,250.79
1/5/2015,CHECKCARD 0104 Spotify USA 877-778-1161 NY 24692165004000650812670 RECURRING,-5.26,245.53
1/6/2015,CHECKCARD 0104 AMC GARDEN STATE 16 #22 PARAMUS NJ 24610435005072013502061,-17.76,227.77
1/7/2015,CHECKCARD 0106 Amazon.com AMZN.COM/BILLWA 74692165006000585123394,36.37,264.14
1/12/2015,BKOFAMERICA ATM 01/11 #000008467 DEPOSIT VINNEN SQUARE RE SWAMPSCOTT MA,194,458.14
1/12/2015,CHECKCARD 0109 Amazon.com AMZN.COM/BILLWA 24692165009000657644378,-54.76,403.38
1/12/2015,CHECKCARD 0110 SUBWAY 00524959 NORTH HAVEN CT 24164075011255173693673,-8.98,394.4
1/12/2015,DANVERS GULF E 01/11 #000173309 PURCHASE DANVERS GULF EX DANVERS MA,-16.11,378.29
1/12/2015,UNIVERSITY OF 01/12 #000332007 PURCHASE UNIVERSITY OF M ORONO ME,-13.77,364.52
1/13/2015,CHECKCARD 0109 MOES SOUTHWEST GRILL MAHWAH NJ 24765015012207988700068,-11.28,353.24
1/14/2015,CHECKCARD 0113 BARNES&NOBLE*COM 800-843-2665 NJ 24692165013000702227132,-61.71,291.53
1/15/2015,CHECKCARD 0114 PAYPAL *MAINFRAMECU 402-935-7733 CA 24492155014894831255523,-46.55,244.98
1/15/2015,CHECKCARD 0114 Amazon.com AMZN.COM/BILLWA 24692165014000061895411,-26.39,218.59
1/15/2015,CHECKCARD 0114 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA 24692165014000064391707,-14.95,203.64
1/20/2015,CHECKCARD 0118 DUNKIN #345504 Q35 ORONO ME 24610435019072019596962,-5.08,198.56
1/20/2015,CHECKCARD 0120 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA 24692165020000569619315,-9.15,189.41
1/23/2015,"UNIVERSITY OF MA DES:DIR DEP ID:0836110 INDN:SANTOS,CHRISTOPHER PAU CO ID:XXXXX00769 PPD",93,282.41
1/26/2015,CIRCLE K 07021 01/25 #000079813 PURCHASE CIRCLE K 07021 2 ORONO ME,-11,271.41
1/27/2015,CHECKCARD 0125 DUNKIN #345504 Q35 ORONO ME 24610435026072019639102,-6.15,265.26
2/5/2015,CHECKCARD 0204 Spotify USA 877-778-1161 NY 24692165035000744324008 RECURRING,-5.26,260
2/6/2015,"UNIVERSITY OF MA DES:DIR DEP ID:0836110 INDN:SANTOS,CHRISTOPHER PAU CO ID:XXXXX00769 PPD",212,472
2/9/2015,U OF MAINE SYS DES:UM ACH ID:123386 INDN:CHRISTOPHER SANTOS CO ID:XXXXX00769 WEB,-300,172
2/10/2015,CHECKCARD 0208 DUNKIN #345504 Q35 ORONO ME 24610435040072017688780,-9.7,162.3
2/11/2015,CHECKCARD 0210 PAYPAL *BANDCAMP 402-935-7733 CA 24492155041894481560906,-1.57,160.73
2/13/2015,CHECKCARD 0212 IFIXIT 805-464-0573 CA 24493985044200939702395,-29.95,130.78
2/17/2015,CHECKCARD 0214 Amazon.com AMZN.COM/BILLWA 24692165045000455455155,-29.99,100.79
2/18/2015,CHECKCARD 0217 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA 24692165048000935708212,-3.99,96.8
2/20/2015,"UNIVERSITY OF MA DES:DIR DEP ID:0836110 INDN:SANTOS,CHRISTOPHER PAU CO ID:XXXXX00769 PPD",220,316.8
2/23/2015,CHECKCARD 0220 REDBOX *DVD RENTAL OAKBROOK TER IL 24692165053000915686372,-1.58,315.22
2/23/2015,U OF MAINE SYS DES:UM ACH ID:123933 INDN:CHRISTOPHER SANTOS CO ID:XXXXX00769 WEB,-231.01,84.21
